"number","title","pageid","namespace","length","touched"
"39","Category:Graphics_file_formats","737744","Category","169","20190620094334"
"40","Category:Symbols","738565","Category","395","20190620094334"
"41","Category:Computational_chemistry","743353","Category","199","20190615231505"
"42","Category:Evolutionary_algorithms","754055","Category","678","20190620094339"
"43","Category:Signal_processing","763505","Category","350","20190620094341"
"44","Category:Object-oriented_programming","763530","Category","136","20190620094341"
"45","Category:X_Window_System","766932","Category","685","20190620094341"
"46","Category:Polynomials","771700","Category","135","20190620094342"
"47","Category:Cellular_automata","783483","Category","279","20190620094344"
"48","Category:Computational_physics","792595","Category","348","20190529112803"
"49","Category:Knowledge_representation","796635","Category","506","20190623000536"
"50","Category:Artificial_life","811694","Category","675","20190620094349"
"51","Category:Barcodes","839015","Category","162","20190620094352"
"52","Category:Digital_signal_processors","841546","Category","354","20190620094353"
"53","Category:Computer_programming_tools","846161","Category","332","20190620094354"
"54","Category:Wiki_communities","849051","Category","174","20190620094354"
"55","Category:Wiki_software","850706","Category","221","20190620094355"
"56","Category:Wiki_concepts","852585","Category","147","20181109042539"
"57","Category:Genetic_algorithms","868737","Category","640","20190312131053"
"58","Category:Digital_audio","880411","Category","928","20190620094402"
"59","Category:Compilers","884777","Category","284","20190621090032"
"60","Category:Scripting_languages","885078","Category","158","20190529112817"
"61","Category:C_libraries","885113","Category","319","20190311202028"
"62","Category:Programming_games","890623","Category","275","20190602111511"
"63","Category:Parsing_algorithms","897426","Category","88","20190312131059"
"64","Category:Non-English-based_programming_languages","902143","Category","363","20190427170434"
"65","Category:LPMud_mudlibs","904814","Category","135","20190312131100"
"66","Category:Functional_languages","909365","Category","256","20190613182315"
"67","Category:Function-level_languages","909367","Category","174","20180421101230"
"68","Category:Array_programming_languages","909384","Category","175","20190607162428"
"69","Category:Object-oriented_programming_languages","909389","Category","407","20190619150406"
"70","Category:Concurrent_programming_languages","909401","Category","217","20190529112824"
"71","Category:Class-based_programming_languages","909420","Category","178","20190505025427"
"72","Category:Structured_programming_languages","909424","Category","207","20180614094021"
"73","Category:Prototype-based_programming_languages","909432","Category","279","20180808034349"
"74","Category:Systems_programming_languages","909533","Category","185","20190615210453"
"75","Category:Logic_programming_languages","909543","Category","249","20190131014627"
"76","Category:Algol_programming_language_family","909574","Category","62","20190312131100"
"77","Category:BASIC_programming_language_family","909579","Category","258","20190620094411"
"78","Category:Programming_language_families","909595","Category","150","20190228204323"
"79","Category:Domain-specific_programming_languages","910359","Category","243","20190621092630"
"80","Category:Concatenative_programming_languages","910819","Category","119","20170829215917"
"81","Category:Stack-oriented_programming_languages","910833","Category","136","20180529070922"
"82","Category:Educational_programming_languages","910839","Category","236","20190620094411"
"83","Category:Dynamic_programming_languages","910850","Category","156","20190620094411"
"84","Category:Typesetting_programming_languages","910853","Category","189","20190618162437"
"85","Category:Text-oriented_programming_languages","911051","Category","300","20190425193137"
"86","Category:Multi-paradigm_programming_languages","911057","Category","155","20190612193827"
"87","Category:Numerical_programming_languages","911059","Category","309","20190620094411"
"88","Category:Formula_manipulation_languages","911090","Category","251","20180914200138"
"89","Category:Statistical_programming_languages","911347","Category","229","20190326151037"
"90","Category:Procedural_programming_languages","911358","Category","166","20190507195002"
"91","Category:Extensible_syntax_programming_languages","911418","Category","289","20190527160405"
"92","Category:4GL","911701","Category","231","20190507230522"
"93","Category:Query_languages","911721","Category","295","20190620094411"
"94","Category:Programming_paradigms","914736","Category","227","20190620132516"
"95","Category:APL_programming_language_family","916332","Category","130","20190620094411"
"96","Category:Java_programming_language_family","916511","Category","274","20190210124459"
"97","Category:PL/I_programming_language_family","916528","Category","218","20190501155408"
"98","Category:Taxonomy","918375","Category","359","20190529112825"
"99","Category:Set_theoretic_programming_languages","919689","Category","170","20180414052031"
"100","Category:ML_programming_language_family","919727","Category","194","20190323221621"
"101","Category:SNOBOL_programming_language_family","919813","Category","113","20190312131102"
"102","Category:Agent-based_programming_languages","919839","Category","183","20180416111535"
"103","Category:Term-rewriting_programming_languages","919898","Category","244","20180914200138"
"104","Category:Synchronization","923143","Category","156","20190529112826"
"105","Category:XML-based_programming_languages","923457","Category","214","20190620094413"
"106","Category:Lists_of_programming_languages","929651","Category","91","20190312131105"
"107","Category:Debuggers","931559","Category","86","20190404202856"
"108","Category:Anti-patterns","941941","Category","250","20190529112832"
"109","Category:C_programming_language_family","945831","Category","353","20190425193137"
"110","Category:Language_families","952039","Category","487","20190620094424"
"111","Category:Galaxy_clusters","953703","Category","197","20190620094425"
"112","Category:Distributed_computing","957605","Category","176","20190529112835"
"113","Category:Parallel_computing","957606","Category","206","20190620094426"
"114","Category:Speech_recognition","958652","Category","292","20190620094426"
"115","Category:Stellar_groupings","960867","Category","250","20181026161008"
"116","Category:Image_processing","962413","Category","802","20190620094427"
"117","Category:Ecoregions","964977","Category","609","20190620094428"
"118","Category:Transducers","969840","Category","639","20190620094429"
"119","Category:Chaos_theory","976386","Category","268","20190620094430"
"120","Category:Pi_algorithms","977003","Category","233","20190403015128"
"121","Category:Color","979606","Category","287","20190622100426"
"122","Category:Software_design_patterns","984124","Category","683","20190620094431"
"123","Category:Computer_algebra","984658","Category","471","20190620094431"
"124","Category:Interpolation","987553","Category","119","20190620094432"
"125","Category:Version_control_systems","1055066","Category","209","20190620094448"
"126","Category:C_headers","1057740","Category","111","20190320202620"
"127","Category:Cryptographic_hash_functions","1060140","Category","213","20190320202620"
"128","Category:Pseudorandom_number_generators","1060172","Category","182","20190320202620"
"129","Category:Cryptanalytic_algorithms","1060234","Category","37","20190323150312"
"130","Category:Error_detection_and_correction","1061200","Category","324","20190320202620"
"131","Category:Lossless_compression_algorithms","1063511","Category","193","20190620094449"
"132","Category:Lossy_compression_algorithms","1063519","Category","133","20190529112855"
"133","Category:Checksum_algorithms","1063613","Category","90","20190320202620"
"134","Category:Type_1_encryption_algorithms","1068890","Category","89","20180426232449"
"135","Category:Type_2_encryption_algorithms","1075452","Category","88","20180426232456"
"136","Category:Virtual_reality_communities","1078974","Category","197","20190509194003"
"137","Category:Speech_codecs","1079586","Category","625","20190620094452"
"138","Category:Social_groups","1093141","Category","158","20190620094456"
"139","Category:Assembly_languages","1097141","Category","426","20190620094457"
"140","Category:Stock_market_indices","1107065","Category","178","20190621133923"
"141","Category:Data_modeling","1116481","Category","416","20190620094500"
"142","Category:Audio_effects","1120316","Category","153","20190620094501"
"143","Category:Library_of_Congress_Classification","1138791","Category","169","20190430124026"
"144","Category:Computational_number_theory","1183044","Category","159","20190320202621"
"145","Category:Logic_programming","1188828","Category","217","20190529112921"
"146","Category:Type_3_encryption_algorithms","1189027","Category","119","20170617041355"
"147","Category:Functional_logic_programming_languages","1189117","Category","214","20190320202621"
"148","Category:Integrated_development_environments","1220346","Category","391","20190620094525"
"149","Category:Perl","1221287","Category","223","20190620222317"
"150","Category:Perl_software","1221331","Category","72","20190621150350"
"151","Category:Coding_theory","1244088","Category","201","20190620094527"
"152","Category:SQL","1250646","Category","263","20190620094527"
"153","Category:Computer-aided_design","1277905","Category","774","20190620094530"
"154","Category:Mozilla_developers","1281513","Category","191","20180423072032"
"155","Category:Speech_synthesis","1294488","Category","411","20190620094534"
"156","Category:Integer_factorization_algorithms","1299830","Category","187","20190320202621"
"157","Category:Flash_cartoons","1328632","Category","116","20190623220118"
"158","Category:Encodings","1352241","Category","145","20190620094540"
"159","Category:Linux_text_editors","1366817","Category","89","20190530195408"
"160","Category:Classic_Mac_OS_text_editors","1366832","Category","443","20190527161013"
"161","Category:Windows_text_editors","1367151","Category","68","20190524054106"
"162","Category:Secure_programming_languages","1377146","Category","145","20180425140905"
"163","Category:.NET_programming_languages","1396487","Category","135","20190522125920"
"164","Category:Search_algorithms","1406201","Category","140","20190621164555"
"165","Category:Wavelets","1411079","Category","465","20190620094547"
"166","Category:Optical_diodes","1424794","Category","157","20190502181232"
"167","Category:Digital_photography","1426189","Category","274","20190620094549"
"168","Category:Computational_group_theory","1426374","Category","103","20190320202621"
"169","Category:Virtual_memory","1436136","Category","278","20190301144207"
"170","Category:Inter-process_communication","1462786","Category","307","20190529112959"
"171","Category:Concurrency_control","1462863","Category","220","20190614162245"
"172","Category:Web_services","1489691","Category","265","20190623052122"
"173","Category:Approximation_theory","1504591","Category","303","20180304100856"
"174","Category:Scheduling_(computing)","1512965","Category","398","20190422234145"
"175","Category:Mind-mapping_software","1520031","Category","257","20190620094559"
"176","Category:Documentation_generators","1531958","Category","156","20190524070008"
"177","Category:Call_signs","1554934","Category","142","20190529113009"
"178","Category:Object-based_programming_languages","1574791","Category","363","20190221005135"
"179","Category:Text_editor_features","1576608","Category","111","20190226153036"
"180","Category:Recurrence_relations","1590272","Category","123","20190531161343"
"181","Category:British_computer_programmers","1605917","Category","230","20190620094607"
"182","Category:Biomes","1611690","Category","213","20190620094607"
"183","Category:MUMPS_programming_language_family","1625286","Category","395","20180422150836"
"184","Category:MUMPS_programming_language","1625313","Category","160","20180422150834"
"185","Category:Assemblers","1682622","Category","146","20190620094615"
"186","Category:Scheduling_algorithms","1690419","Category","299","20190320202621"
"187","Category:BASIC_extensions","1717947","Category","48","20180416221534"
"188","Category:Medical_imaging","1745805","Category","292","20190623064039"
"189","Category:Detection_theory","1764882","Category","211","20190320202621"
"190","Category:JavaScript_engines","1770578","Category","27","20180902173755"
"191","Category:Numerical_linear_algebra","1770656","Category","439","20190529113036"
"192","Category:JavaScript_dialect_engines","1770738","Category","51","20180422080933"
"193","Category:Compiler_optimizations","1771298","Category","148","20190320202621"
"194","Category:HTML_editors","1775831","Category","170","20190418011233"
"195","Category:WAMP","1784031","Category","132","20190620094629"
"196","Category:Line_codes","1819701","Category","142","20190620094634"
"197","Category:Physics_software","1823068","Category","98","20190620094634"
"198","Category:Programming_constructs","1828888","Category","283","20190529113044"
"199","Category:BitTorrent","1844556","Category","133","20190620094636"
"200","Category:Electrical_generators","1859846","Category","171","20190620094638"
"201","Category:Filter_theory","1866651","Category","310","20190620094639"
"202","Category:Programming_contests","1879139","Category","188","20190620094639"
"203","Category:Routing_algorithms","1882018","Category","149","20190405023453"
"204","Category:Numerical_software","1908765","Category","263","20190620094643"
"205","Category:Memory_management","1957448","Category","354","20190620094649"
"206","Category:File_sharing_networks","1964794","Category","331","20190620094649"
"207","Category:Collaborative_real-time_editors","1967885","Category","233","20190320202621"
"208","Category:Direct_Connect_network","1971480","Category","34","20180420022133"
"209","Category:Classification_algorithms","1991254","Category","320","20190620094649"
"210","Category:BeOS","2003809","Category","382","20190620094650"
"211","Category:Widget_toolkits","2015768","Category","200","20190620094651"
"212","Category:Splines_(mathematics)","2019322","Category","600","20190620094651"
"213","Category:Pattern_matching","2023695","Category","118","20190529113103"
"214","Category:Sound_production_technology","2028879","Category","131","20190620094652"
"215","Category:Microsoft_development_tools","2043588","Category","89","20190512144508"
"216","Category:Microsoft_Visual_Studio","2043626","Category","196","20190320202621"
"217","Category:SAT_solvers","2046048","Category","207","20190408154626"
"218","Category:Doctor_Who_Doctors","2067918","Category","922","20190516180153"
"219","Category:Memory_management_software","2079063","Category","283","20180415222451"
"220","Category:Application_programming_interfaces","2085813","Category","135","20190620094657"
"221","Category:Orthogonal_polynomials","2117333","Category","91","20190520215840"
"222","Category:Character_encoding","2123467","Category","276","20190620094659"
"223","Category:3D_computer_graphics","2138831","Category","502","20190620094700"
"224","Category:Data_types","2148233","Category","516","20190620094700"
"225","Category:Synchronous_programming_languages","2224946","Category","189","20190320202621"
"226","Category:Primality_tests","2291334","Category","154","20190421205813"
"227","Category:OpenVMS_text_editors","2294560","Category","185","20180424222224"
"228","Category:Web_frameworks","2333813","Category","178","20190620094715"
"229","Category:Aspect-oriented_programming","2401716","Category","126","20190320202622"
"230","Category:Unix_shells","2416438","Category","243","20190620094720"
"231","Category:PHP_software","2455004","Category","230","20190624001218"
"232","Category:Actor_model_(computer_science)","2469194","Category","198","20190429080436"
"233","Category:Matroid_theory","2485940","Category","150","20190404055125"
"234","Category:C_compilers","2530972","Category","316","20180917081722"
"235","Category:Compilers_by_programming_language","2531080","Category","24","20180103024237"
"236","Category:Parsing","2535704","Category","120","20190612051701"
"237","Category:Formal_methods","2574961","Category","900","20190620094731"
"238","Category:Concurrent_computing","2581694","Category","503","20190620094732"
"239","Category:Persistent_programming_languages","2595956","Category","163","20190320202622"
"240","Category:Selection_algorithms","2597043","Category","89","20190320202622"
"241","Category:Approximation_algorithms","2597177","Category","51","20190226004800"
"242","Category:Combinatorial_algorithms","2634128","Category","145","20190529113200"
"243","Category:Emacs","2635379","Category","394","20190620094736"
"244","Category:Java_(programming_language)_libraries","2649509","Category","349","20190516181250"
"245","Category:Finnish_computer_programmers","2689525","Category","157","20190620094742"
"246","Category:Dynamic_programming","2699398","Category","303","20190522213755"
"247","Category:3D_imaging","2700744","Category","136","20190529113208"
"248","Category:Relational_algebra","2702836","Category","125","20190320202622"
"249","Category:French_computer_programmers","2768857","Category","162","20190228072108"
"250","Category:German_computer_programmers","2768866","Category","172","20190228070919"
"251","Category:Plotting_software","2770156","Category","94","20190621025532"
"252","Category:Source_code","2857334","Category","92","20190620094757"
"253","Category:Density_functional_theory","2865531","Category","143","20190312131630"
"254","Category:Molecular_dynamics","2865718","Category","142","20190620094758"
"255","Category:Netsukuku","2911127","Category","57","20190320202622"
"256","Category:Flash_games","2975849","Category","233","20190620094805"
"257","Category:Rule_engines","3003224","Category","170","20190320202622"
"258","Category:JOSS_programming_language_family","3011984","Category","115","20181215172102"
"259","Category:Proprietary_version_control_systems","3046409","Category","221","20190513174357"
"260","Category:Genetic_programming","3061615","Category","571","20190320202622"
"261","Category:Norwegian_computer_programmers","3086245","Category","228","20190228071133"
"262","Category:American_computer_programmers","3106408","Category","266","20190621195941"
"263","Category:Taiwanese_computer_programmers","3133592","Category","102","20190228075316"
"264","Category:Simulation_programming_languages","3138471","Category","153","20190215105629"
"265","Category:Symmetric_functions","3165310","Category","162","20190516180207"
"266","Category:Debugging","3293605","Category","93","20190422182106"
"267","Category:BASIC_compilers","3317241","Category","112","20190612051302"
"268","Category:Cross-compilers","3317250","Category","22","20180421002041"
"269","Category:CFML_compilers","3317258","Category","85","20180419041855"
"270","Category:Pascal_compilers","3317398","Category","89","20190108021324"
"271","Category:Scheme_(programming_language)_compilers","3317475","Category","248","20180425030940"
"272","Category:Compiling_tools","3317540","Category","92","20190320202623"
"273","Category:UML_tools","3317570","Category","365","20190620094830"
"274","Category:Profilers","3317613","Category","121","20190413203628"
"275","Category:Arrays","3370246","Category","186","20190620094833"
"276","Category:Computer_graphics_professionals","3370555","Category","191","20190315210831"
"277","Category:EXE_packers","3382077","Category","123","20180420101000"
"278","Category:BASIC_programming_language","3418154","Category","229","20190612051122"
"279","Category:Process_calculi","3434402","Category","389","20190320202623"
"280","Category:COBOL","3447978","Category","625","20190620094835"
"281","Category:X_Window_programs","3472907","Category","123","20190214124047"
"282","Category:Identification","3570693","Category","231","20190620094844"
"283","Category:Classification_systems","3615452","Category","534","20190624060353"
"284","Category:C++_libraries","3623575","Category","298","20190309220030"
"285","Category:C++","3623580","Category","368","20190620094849"
"286","Category:C++_compilers","3623622","Category","86","20180803115935"
"287","Category:GNUstep","3651192","Category","381","20190620094854"
"288","Category:Anonymity_networks","3713083","Category","290","20190620094858"
"289","Category:Anonymous_file_sharing_networks","3713292","Category","94","20190320202623"
"290","Category:Template_engines","3714929","Category","91","20190618112501"
"291","Category:Neural_network_software","3735046","Category","102","20190623000536"
"292","Category:Piezoelectric_materials","3758475","Category","149","20190620094901"
"293","Category:Lists_of_groups_with_specific_numbers_of_members","3821745","Category","602","20190511140558"
"294","Category:Java_platform_software","3828318","Category","934","20190620094905"
"295","Category:XML_parsers","3834982","Category","80","20180403052239"
"296","Category:Multimedia_frameworks","3839647","Category","154","20190320202623"
"297","Category:Fictional_hackers","3847038","Category","599","20190620094907"
"298","Category:Combinatorial_optimization","3867956","Category","174","20190529113342"
"299","Category:Semantic_HTML","3905999","Category","71","20190406023614"
"300","Category:Machine_code","3956497","Category","94","20190320202623"
"301","Category:Finite_differences","3963063","Category","607","20190516180219"
"302","Category:Ensemble_learning","3985352","Category","322","20181106204713"
"303","Category:Message_authentication_codes","4003934","Category","383","20190326055824"
"304","Category:X86_memory_management","4012312","Category","667","20190514193953"
"305","Category:Termination_algorithms","4032872","Category","136","20180426161056"
"306","Category:Grid_computing","4080405","Category","112","20190620094921"
"307","Category:Signage","4130053","Category","296","20190620094922"
"308","Category:Java_specification_requests","4138620","Category","466","20190531125417"
"309","Category:Human_haplogroups","4147852","Category","267","20190620094924"
"310","Category:Fibonacci_numbers","4161653","Category","156","20190620094926"
"311","Category:Audio_equipment_manufacturers","4182124","Category","560","20190624205504"
"312","Category:Free_text_editors","4188631","Category","259","20190613214759"
"313","Category:Free_HTML_editors","4189404","Category","591","20190612022529"
"314","Category:Free_computer_algebra_systems","4210774","Category","560","20190618143914"
"315","Category:Microsoft_BASIC","4216544","Category","220","20190221005135"
"316","Category:Pseudoprimes","4225335","Category","138","20180911133646"
"317","Category:Visual_programming_languages","4237597","Category","158","20190620094929"
"318","Category:Computational_neuroscience","4289067","Category","226","20190621211105"
"319","Category:Cryptographically_secure_pseudorandom_number_generators","4325366","Category","319","20180421010919"
"320","Category:Signal_connectors","4393803","Category","117","20190216123952"
"321","Category:Ciphers","4413125","Category","87","20190620094939"
"322","Category:Python_software","4432035","Category","97","20190623074537"
"323","Category:Audio_amplifiers","4460321","Category","133","20190620094942"
"324","Category:Plan_9_from_Bell_Labs","4512028","Category","559","20190620094946"
"325","Category:Flash_artists","4522326","Category","153","20190327112503"
"326","Category:Orthogonal_wavelets","4563617","Category","21","20180414211635"
"327","Category:Continuous_wavelets","4563658","Category","21","20180420210900"
"328","Category:Biorthogonal_wavelets","4563716","Category","21","20180417012456"
"329","Category:Gmail","4588690","Category","205","20190620094950"
"330","Category:Music_hardware","4662921","Category","622","20190504203353"
"331","Category:Computer_programming_stubs","4693759","Category","186","20190602140602"
"332","Category:BeOS_text_editors","4768070","Category","65","20190521183523"
"333","Category:Swedish_computer_programmers","4794163","Category","220","20190530195838"
"334","Category:Sound_archives","4804752","Category","254","20190611191147"
"335","Category:Java_platform_games","4821550","Category","284","20190622043057"
"336","Category:Haskell_software","4935755","Category","375","20170228132802"
"337","Category:Comparison_sorts","5108210","Category","342","20190620095010"
"338","Category:Stable_sorts","5109590","Category","397","20190623002011"
"339","Category:Ada_programming_language_family","5173039","Category","407","20181215155707"
"340","Category:C++_programming_language_family","5173143","Category","212","20190505025427"
"341","Category:Forth_programming_language_family","5173158","Category","252","20181215163012"
"342","Category:Haskell_programming_language_family","5173173","Category","238","20190620095012"
"343","Category:Icon_programming_language_family","5173175","Category","269","20181215171358"
"344","Category:JavaScript_programming_language_family","5173188","Category","216","20181215171927"
"345","Category:Lisp_programming_language_family","5173214","Category","337","20190618142135"
"346","Category:Logo_programming_language_family","5173217","Category","263","20181216054056"
"347","Category:Modula_programming_language_family","5173220","Category","222","20181216054504"
"348","Category:Oberon_programming_language_family","5173227","Category","247","20181216055232"
"349","Category:Pascal_programming_language_family","5173257","Category","345","20190620095012"
"350","Category:SR_programming_language_family","5173269","Category","216","20181216063438"
"351","Category:Smalltalk_programming_language_family","5173275","Category","255","20190317204131"
"352","Category:Tcl_programming_language_family","5173281","Category","261","20190620095012"
"353","Category:XBase_programming_language_family","5173295","Category","156","20181216065614"
"354","Category:Monte_Carlo_methods","5200150","Category","362","20190620095013"
"355","Category:Data_mining","5206601","Category","461","20190620095013"
"356","Category:.NET_programming_tools","5219953","Category","110","20190508123901"
"357","Category:Numerical_analysts","5328853","Category","150","20190620095019"
"358","Category:Free_version_control_software","5354695","Category","312","20190621150350"
"359","Category:Free_software_programmers","5361790","Category","550","20190620095021"
"360","Category:Data-structured_programming_languages","5399121","Category","166","20180809232723"
"361","Category:Sensors","5400296","Category","104","20190620131118"
"362","Category:Network_flow_problem","5420314","Category","167","20190620095025"
"363","Category:Cheminformatics","5438220","Category","196","20190620095026"
"364","Category:Free_compilers_and_interpreters","5439055","Category","370","20190615210453"
"365","Category:Programming_language_implementation","5439296","Category","448","20190620095026"
"366","Category:Cell_BE_architecture","5488801","Category","142","20190312132052"
"367","Category:Limit_sets","5493158","Category","283","20180422150838"
"368","Category:Bifurcation_theory","5494818","Category","211","20190620095028"
"369","Category:Belgian_computer_programmers","5543987","Category","221","20190620095031"
"370","Category:Adventure_game_engines","5547055","Category","136","20180713205316"
"371","Category:Monte_Carlo_software","5579867","Category","104","20190101114124"
"372","Category:Computer_programmers_by_nationality","5693620","Category","207","20190620095039"
"373","Category:Computer_programmers","5693862","Category","367","20190620095039"
"374","Category:Researchers_in_geometric_algorithms","5721658","Category","101","20190323190552"
"375","Category:Free_statistical_software","5774898","Category","206","20190620190848"
"376","Category:BASIC_commands","5825327","Category","46","20190321153632"
"377","Category:Digital_geometry","5910361","Category","392","20190609220735"
"378","Category:Lattice_models","6035035","Category","299","20190320202626"
"379","Category:Google_services","6090339","Category","290","20190620095054"
"380","Category:Middleware","6197993","Category","164","20190620095058"
"381","Category:Econometrics_software","6218415","Category","99","20190529113554"
"382","Category:Ajax_(programming)","6232020","Category","157","20190620095059"
"383","Category:Fictional_technopaths","6234434","Category","875","20190623162723"
"384","Category:Acoustic_fingerprinting","6244876","Category","168","20190320202626"
"385","Category:Rational_functions","6263970","Category","211","20190620095102"
"386","Category:Perl_writers","6324523","Category","190","20180425201757"
"387","Category:Mac_OS_APIs","6342885","Category","184","20170610110245"
"388","Category:Data_serialization_formats","6391309","Category","166","20190320202626"
"389","Category:MP3","6392474","Category","128","20190620095109"
"390","Category:Database_constraints","6440062","Category","318","20180419171323"
"391","Category:JavaScript_libraries","6452254","Category","142","20190622232618"
"392","Category:PHP_libraries","6452791","Category","72","20190620092413"
"393","Category:Troff","6463999","Category","164","20190507164828"
"394","Category:Statistical_algorithms","6536797","Category","118","20190530195802"
"395","Category:X-based_libraries","6611835","Category","231","20190612052911"
"396","Category:Spreadsheet_file_formats","6629611","Category","88","20170504104403"
"397","Category:Turbulence_models","6666963","Category","325","20190620095118"
"398","Category:Free_computer_programming_tools","6687643","Category","515","20190612050334"
"399","Category:Free_documentation_generators","6687902","Category","529","20190516180951"
"400","Category:Free_UML_tools","6705391","Category","499","20190516180953"
"401","Category:Free_game_engines","6717518","Category","310","20190516180953"
"402","Category:Programming_idioms","6783632","Category","319","20190320202629"
"403","Category:Free_theorem_provers","6829164","Category","682","20190618144130"
"404","Category:Iranian_computer_programmers","6855730","Category","169","20190612221221"
"405","Category:Canadian_computer_programmers","6855743","Category","207","20190620095128"
"406","Category:Job_scheduling","6856416","Category","224","20190320202629"
"407","Category:RDF_data_access","6876817","Category","134","20190320202629"
"408","Category:Ontology_learning_(computer_science)","6905288","Category","73","20190107094734"
"409","Category:Tree_programming_languages","7025150","Category","166","20160211164435"
"410","Category:Whitespace","7055667","Category","116","20190312132315"
"411","Category:Streaming","7073231","Category","485","20190624082323"
"412","Category:Computer_physics_engines","7092911","Category","455","20190620095137"
"413","Category:Library_cataloging_and_classification","7117782","Category","343","20190620095138"
"414","Category:Articles_with_example_Python_code","7121509","Category","110","20190429072550"
"415","Category:Articles_with_example_C++_code","7121525","Category","117","20190618082914"
"416","Category:Force_fields","7288747","Category","278","20190320202629"
"417","Category:Signal_processing_stubs","7332463","Category","189","20190419170038"
"418","Category:Homogeneous_polynomials","7396166","Category","24","20180518153746"
"419","Category:Wellfoundedness","7438165","Category","85","20180405142007"
"420","Category:Graphics_libraries","7439909","Category","151","20190622232618"
"421","Category:Numerical_differential_equations","7468858","Category","354","20190625010803"
"422","Category:Computer_graphic_artifacts","7475196","Category","130","20181202124514"
"423","Category:Computer_libraries","7482978","Category","258","20190620095152"
"424","Category:Unix_signals","7541625","Category","135","20190320202630"
"425","Category:Norms_(mathematics)","7544087","Category","155","20190620095154"
"426","Category:CFML_programming_language","7590232","Category","169","20180727164717"
"427","Category:Optical_software","7644177","Category","235","20180403052333"
"428","Category:Data_synchronization","7645825","Category","188","20190615170404"
"429","Category:Speech_processing","7699923","Category","191","20190620095159"
"430","Category:JavaScript-based_HTML_editors","7780396","Category","185","20190114103350"
"431","Category:C++_debugging_support_libraries","7806001","Category","135","20180724173653"
"432","Category:Debugging_support_libraries","7806117","Category","606","20180419180945"
"433","Category:Continuous_integration","7863623","Category","66","20190320202630"
"434","Category:Java_APIs","7873188","Category","243","20190223070628"
"435","Category:Adobe_Flash","7880628","Category","1168","20190620095206"
"436","Category:Build_automation","7896281","Category","102","20190320202630"
"437","Category:SIMD_computing","7968689","Category","86","20190312132421"
"438","Category:Multi-agent_systems","8050180","Category","444","20190507195805"
"439","Category:Articles_with_example_Haskell_code","8135339","Category","131","20190418191717"
"440","Category:Articles_with_example_Scheme_code","8135358","Category","95","20181112155934"
"441","Category:Disk_scheduling_algorithms","8165753","Category","149","20181205040742"
"442","Category:Articles_with_example_Pascal_code","8209261","Category","124","20190418191717"
"443","Category:Formal_methods_tools","8232110","Category","155","20190505205300"
"444","Category:Model_checkers","8232149","Category","168","20190320202630"
"445","Category:Bug_and_issue_tracking_software","8263775","Category","230","20190620095217"
"446","Category:Dylan_(programming_language)","8327181","Category","243","20190320202630"
"447","Category:Automated_theorem_proving","8387931","Category","764","20190408154616"
"448","Category:R_(programming_language)","8523545","Category","393","20190620095226"
"449","Category:Scheme_(programming_language)_interpreters","8689499","Category","259","20190429233444"
"450","Category:Python_libraries","8962239","Category","181","20190429125240"
